Season,Episode,Month,Day,Year,Title,Directed By,Written By,Duration,Summary,U.S. Viewers,Rating
1,1,9,22,1994,The Pilot,James Burrows,David Crane & Marta Kauffman,22.0,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiance at the altar.",21500000.0,0.6391304347826087
1,2,9,29,1994,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,22.0,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,20200000.0,0.6363636363636364
1,3,10,6,1994,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,22.0,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,19500000.0,0.6181818181818182
1,4,10,13,1994,The One with George Stephanopoulos,James Burrows,Alexa Junge,22.0,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",19700000.0,0.6227272727272727
1,5,10,20,1994,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,22.0,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",18600000.0,0.645
1,6,10,27,1994,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,22.0,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,18200000.0,0.62
1,7,11,3,1994,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,22.0,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",23500000.0,0.6708333333333334
1,8,11,10,1994,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,22.0,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,21100000.0,0.6454545454545454
1,9,11,17,1994,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,22.0,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,23100000.0,0.6541666666666667
1,10,12,15,1994,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,22.0,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,19900000.0,0.6181818181818182
1,11,1,5,1995,The One with Mrs. Bing,James Burrows,Alexa Junge,22.0,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",26600000.0,0.6518518518518519
1,12,1,12,1995,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,22.0,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,24000000.0,0.644
1,13,1,19,1995,The One with the Boobies,Alan Myerson,Alexa Junge,22.0,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,25800000.0,0.6653846153846155
1,14,2,9,1995,The One with the Candy Hearts,James Burrows,Bill Lawrence,22.0,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",23800000.0,0.6625
1,15,2,16,1995,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,22.0,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",24800000.0,0.6759999999999999
1,16,2,23,1995,"The One with Two Parts, Part I",Michael Lembeck,Marta Kauffman & David Crane,22.0,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,26100000.0,0.6481481481481481
1,17,2,23,1995,"The One with Two Parts, Part II",Michael Lembeck,Marta Kauffman & David Crane,22.0,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",30500000.0,0.6709677419354839
1,18,3,2,1995,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,22.0,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",30400000.0,0.6580645161290322
1,19,3,9,1995,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,22.0,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,29400000.0,0.6451612903225806
1,20,4,6,1995,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,22.0,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",30000000.0,0.640625
1,21,4,27,1995,The One with Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,22.0,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,28400000.0,0.6620689655172414
1,22,5,4,1995,The One with the Ick Factor,Robby Benson,Alexa Junge,22.0,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,29900000.0,0.667741935483871
1,23,5,11,1995,The One with the Birth,James Burrows,"Story by : David Crane & Marta Kauffman
Teleplay by : Jeff Greenstein & Jeff Strauss",22.0,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",28700000.0,0.6566666666666666
